datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,25,0,0.9,-19.798,-48.418,68.4
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,25,0,1,-19.799,-48.432,240.9
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DAS ALAGOAS,Cerrado,25,0,1,-19.81,-48.431,39.6
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CARMOPOLIS DE MINAS,Mata Atlantica,14,0,1,-20.569,-44.597,12.1
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CARANDAI,Mata Atlantica,7,0,0.9,-21.005,-43.976,6
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,CARANDAI,Mata Atlantica,7,0,0.9,-21.015,-43.977,19.2
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,ARACUAI,Mata Atlantica,23,0,0.9,-16.869,-41.741,15.2
2020/06/18 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,BOCAIUVA,Cerrado,23,0,1,-17.051,-43.732,5.3
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,ARICANDUVA,Mata Atlantica,28,0,1,-17.875,-42.655,14.8
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,FORMOSO,Cerrado,24,0,1,-14.927,-46.348,9
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTALVANIA,Cerrado,30,0,1,-14.516,-44.395,11
2020/06/25 16:50:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,30,0,1,-15.602,-46.184,9.6
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,CURVELO,Cerrado,31,0,1,-19.08,-44.48,5.2
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,MEDEIROS,Cerrado,15,0,1,-19.966,-46.555,8.3
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,31,0,0.8,-20.027,-47.216,7.6
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,LUMINARIAS,Mata Atlantica,7,0,1,-21.506,-45.018,5.4
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,VARGINHA,Mata Atlantica,6,0,1,-21.529,-45.437,4.6
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,CALDAS,Mata Atlantica,12,0,1,-22.013,-46.485,8.4
2020/06/25 16:45:00,AQUA_M-T,Brasil,MINAS GERAIS,ANDRADAS,Mata Atlantica,12,0,1,-22.015,-46.495,13
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,JOAO PINHEIRO,Cerrado,26,0,1,-18.164,-46.04,8.9
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,COROMANDEL,Cerrado,29,0,1,-18.29,-47.254,14.7
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,COROMANDEL,Cerrado,29,0,1,-18.292,-47.264,31.4
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,CAETE,Mata Atlantica,18,0,0.6,-19.99,-43.712,11.4
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado,28,0,1,-18.331,-43.862,11
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,MADRE DE DEUS DE MINAS,Mata Atlantica,15,0,1,-21.548,-44.24,9.7
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,PARAGUACU,Mata Atlantica,9,0,1,-21.622,-45.744,7.7
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado,28,0,1,-18.332,-43.869,13.8
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,MINDURI,Mata Atlantica,4,0,1,-21.733,-44.611,21.2
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,POCOS DE CALDAS,Mata Atlantica,20,0,0.9,-21.811,-46.488,4.8
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO GOTARDO,Cerrado,19,0,0.9,-19.418,-46.016,11.3
2020/06/23 17:00:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,29,0,0.7,-20.025,-47.21,7.8
